behavior,legacy_opnet,current_ns3,matlab_classification,matlab_evidence,decision_or_backlog,tranche
signal_interference_acquisition,legacy_source,current_PR50_rejected_preamble_fix,Unresolved,owner_PHY_regressions_and_9_PHY_MAC_bridge_methods_passed_in_145of145_rerun,T2_duty_cycle_integrated_network_differential_still_pending,1
closure_callback_timing,immediate_source_drop,immediate_tx_time_drop,Intentional MATLAB implementation difference,completion_timed_callback_for_uniform_accounting,Record_difference_before_event_parity_comparison,1
physical_vs_application_accounting,overheard_frames_filtered_by_HOP,physical_receive_then_HOP_filter,Unresolved,owner_145of145_suite_and_nine_MAC_HOP_summaries_passed_unique_delivery_and_custody_gates,HOP_filters_addressed_members_full_network_metric_differential_pending,1
MAC_acquisition_queues_slots_reservations,legacy_source,current_PR50_acquisition_fix,Unresolved,owner_all_18_MAC_unit_9_bridge_and_15_integrated_methods_passed_in_145of145_rerun,Portable_functional_gate_accepted_equivalent_network_comparison_pending,2
HOP_ACK_DACK_retries_window,legacy_source,current_PR50_ACK_window_fix,Unresolved,owner_all_20_HOP_unit_and_15_integrated_methods_passed_ACK_DATA_loss_and_DACK_exports_drained,Portable_functional_gate_accepted_declared_policy_differences_and_network_parity_remain,2
MAC_ack_repetition_concat_preambles,source_profiles,current_ACK_coalescing_and_five_transmissions,Unresolved,owner_all_18_MAC_methods_passed_reliable_fixture_6_DATA_plus_30_ACK_transmissions,Checked_behavior_passes_source_intent_network_control_overhead_parity_pending,2
MAC_total_aggregate_cap,ACK_only_packing_quirk,DATA_stop_can_leave_more_than_16_ACK_members,Intentional MATLAB implementation difference,strict_16_total_members_in_MAC_candidate,Bounded_uniform_packing_record_before_control_overhead_comparison,2
HOP_overload_accounting,queue_overflow_loss_and_bookkeeping_retention,source_can_retain_pending_without_resend_entry,Intentional MATLAB implementation difference,owner_MAC_rejection_resend_bound_custody_refusal_tests_passed_queue_fixture_18_explicit_drops,Intentional_transactional_policy_accepted_avoid_stranded_capacity,2
HOP_queued_retry_timer,source_timer_scan_policy,provisional_enqueue_timestamp_can_trigger_before_retry_TX,Intentional MATLAB implementation difference,owner_retry_waits_for_actual_sent_test_passed_in_145of145_rerun,Actual_transmission_retry_ownership_retained_source_stale_scan_difference_explicit,2
HOP_adaptive_link_control,source_adaptive_rate_power,ACK_feedback_and_link_cost_selection,Unresolved,Owner_R2025a_289of289_including_source_link_cost_vectors_passed,Local_limits_and_PHY_metrics_verified_full_ACK_feedback_adaptation_still_partial,3
modeled_frame_and_ACK_window_serialization,eleven_legacy_packet_layouts,current_modeled_fields_and_logical_16bit_sequence,Unresolved,owner_R2025a_all_11_TestHopFrames_methods_passed_original_envelope_smoke_passed,Checked_modeled_layouts_only_no_OTA_crypto_or_full_network_claim,2
fixed_path_relay_custody,autonomous_NWK_routes,autonomous_NWK_routes,Intentional MATLAB implementation difference,owner_15_integrated_methods_passed_relay_6of6_with_12_hop_ACKs_and_zero_pending,Portable_T2_accepted_autonomous_route_provider_in_T3,2
forwarding_queue_bound,source_NWK_queue,unsent_NWK_queue_bound,Intentional MATLAB implementation difference,owner_queue_pressure_20_generated_2_delivered_18_queue_dropped_zero_pending,Retained_custody_bound_remains_intentional_NWK_queue_policy_in_T3,2
late_inflight_delivery_accounting,source_layer_specific_counters,source_layer_specific_counters,Intentional MATLAB implementation difference,owner_R2025a_all_3_custody_regressions_passed_including_late_final_delivery,Event_log_retains_timeout_Final_statistics_count_actual_unique_delivery,2
controlled_receive_erasures,not_applicable,diagnostic_workflows,Intentional MATLAB implementation difference,owner_ACK_loss_5_erased_1_retry_and_DATA_loss_1_erased_1_retry_both_deliver_once,Diagnostic_loss_only_raw_PHY_success_precedes_erasure,2
NWK_relay_holdoff_metadata,legacy_field,retained_metadata_not_additional_MAC_queue_gate,Not yet implemented,Native_relay_holdoff_workflow_passed_T3_control_candidate_no_extra_MAC_gate,Source_metadata_only_preservation_remains_deferred_no_queue_gate_invented,3
routing_discovery_admission_control,ARL_source,ARL_control_and_retry_ownership,Unresolved,Owner_R2025a_289of289_and_all_eight_T3_scenarios_passed_74_source_hashes_match,Portable_T3_functional_gate_accepted_equivalent_network_differential_pending,3
security_envelopes,source_backed_subset,production_and_historical_profiles,Intentional MATLAB implementation difference,Owner_R2025a_six_control_profile_and_eleven_config_methods_passed,Cryptography_and_historical_MAC_security_tuple_emulation_unimplemented,3
full_scenario_metrics,aggregate_OV_only,6000s_current_run_with_residuals,Unresolved,T4_research_runner_and_metrics_prepared_MATLAB_execution_pending,Synthetic_6000s_workload_not_historical_campus_equivalence,4
MATLAB_wireless_clock,not_applicable,ns3_simulator_clock,Unresolved,NativeScheduler_with_real_wnet_Node_and_six_native_tests_prepared_including_T3_routed_equality,Native_clock_execution_pending_CSR_owns_RF,1
MATLAB_native_packet_transport,not_applicable,ns3_netdevice_transport,Not yet implemented,Separate_native_packet_probe_prepared_not_integrated_CSR_transport,Full_native_interference_engine_injection_deferred,1
battery_energy,excluded,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
supervisory_layer,excluded,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
BBN_routing,operational_hardware_does_not_use,not_baseline_requirement,Not applicable,user_scope,Defer,excluded
MAC_slot_range_and_guard,historical_slot_table_variants,current_fine_active_node_table_and_reduction_guard,Matches ns-3,owner_TestMacLayer_slotRangeAndGuardMatchSource_passed,Checked_table_and_guard_only_not_full_network_MAC_parity,2
HOP_third_ACK_admission_growth,legacy_source,PR50_growth_before_retransmitted_streak_reset,Matches ns-3,owner_TestHopLayer_thirdAckGrowsBeforeRetryStreakReset_passed,Checked_state_transition_only_other_policy_differences_remain_explicit,2
ARL_routing_wire_and_sections,routes_c_big_endian_stream,INFO_UPDATE_DELETE_REQUEST_FLUSH_700_byte_sections,Unresolved,Owner_R2025a_all_eleven_codec_methods_passed_native_stream_reference_passed,Exact_ARL_payload_tests_pass_network_control_airtime_differential_pending,3
ARL_route_selection_and_loss,ARL_routes_source,cost_hops_tie_retention_sequence_tombstones_deferred_candidates,Unresolved,Owner_R2025a_23_Routes_31_NwkLayer_and_10_network_scenario_methods_passed,Portable_routing_accepted_no_full_network_numerical_parity_claim,3
ARL_grouped_partial_ACK_ownership,grouped_source_controls,original_HOP_group_retained_then_NWK_residual_new_attempt,Unresolved,Owner_R2025a_27_HOP_control_and_31_NWK_methods_passed,Original_group_and_residual_retry_functional_tests_passed,3
NWK_no_route_custody,queue_scan_without_implicit_discovery,retain_source_custody_skip_blocked_destinations,Unresolved,Owner_R2025a_early_custody_threeofthree_delivered_queue_depth_three_then_zero,Retained_custody_bound_remains_explicit_portable_policy,3
NWK_ordinary_vs_leaf,role_and_forwarding_policy_separate,Ordinary0_separate_TransitForwardingEnabled,Unresolved,Owner_R2025a_leaf_policy_three_intentional_drops_zero_pending_and_component_tests_passed,Ordinary_can_forward_unless_transit_explicitly_disabled,3
NWK_policy_drop_after_HOP_receipt,layered_ACK_then_policy_check,inactive_or_leaf_policy_discard_after_HOP_ACK,Unresolved,Owner_R2025a_leaf_policy_scenario_method_and_export_passed_three_ACKs_three_drops,Protocol_receipt_and_application_policy_drop_accounted_separately,3
NWK_bounded_control_owners,source_control_retry_workflow,source_residual_owner_retries,Intentional MATLAB implementation difference,Owner_R2025a_backlog_restore_and_residual_retry_methods_passed_all_T3_rejections_zero,Three_NWK_cycles_and_64_entry_bounds_remain_documented_differences,3
NWK_snapshot_watchdog,source_snapshot_control,outbound_section_ACK_watchdog,Unresolved,Owner_R2025a_snapshot_section_ACK_watchdog_and_request_suppression_methods_passed,Expiry_retains_HOP_owners_and_neighbor_state_large_network_scaling_pending,3
NWK_SNMP_scan_coordinator,route_known_node_list_and_one_hop_SNMP,START_DONE_sequential_local_scans_watchdog,Unresolved,Owner_R2025a_all_31_NWK_methods_and_10_network_scenario_methods_passed,Portable_convergence_accepted_broader_transitive_scan_comparison_pending,3
NWK_control_airtime,legacy_control_layouts,ns3_modeled_Hello_Routes_SNMP_sizes,Unresolved,Owner_R2025a_six_exact_control_size_profile_methods_passed,No_group_target_overhead_no_crypto_bytes_full_airtime_differential_pending,3
NWK_positive_DSCP_queue,positive_push_head_zero_append,positive_push_head_zero_append,Unresolved,Owner_R2025a_positive_push_head_zero_append_method_passed,Historical_application_generator_equivalence_still_deferred,3
NWK_unretained_ACK_accounting,layer_specific_statistics,ACK_can_follow_duplicate_after_first_no_route_suppression,Intentional MATLAB implementation difference,T3_application_ledger_records_explicit_unretained_ACK_loss_reversible_on_late_reception,No_orphaned_application_pending_or_false_application_delivery,3
NWK_NoPath_control,source_reverse_path_policy,preserve_forward_routes_clear_only_matching_reverse_reporter,Unresolved,Owner_R2025a_targeted_NoPath_component_methods_passed,Full_network_parity_remains_separate,3
HOP_control_receive_order,validate_then_replay_delivery_exact_ACK,separate_DATA_control_receive_maps,Unresolved,Owner_R2025a_all_27_HOP_control_methods_passed,Validation_replay_and_type_specific_delivery_ACK_order_verified_no_crypto_claim,3
NWK_application_profile_selector,executable_bound_generators,current_and_two_legacy_no_DSCP_profiles,Intentional MATLAB implementation difference,Named_profiles_enforce_legacy_zero_DSCP_and_metadata,Directional_generation_gateway_cache_and_preallocation_attempt_gates_deferred,3
MAC_large_routing_concat_boundary,strict_rate_dependent_limit,oversized_head_can_remain_packing_blocked,Unresolved,Owner_R2025a_8kbps_blocked_and_128kbps_progress_methods_passed,Preserve_frozen_source_quirk_do_not_force_single_frame_progress,3
MAC_standalone_group_preamble,primary_destination_outside_concat,primary_destination_outside_concat,Unresolved,Owner_R2025a_standalone_group_primary_freshness_method_passed,Preserve_frozen_source_quirk,3
NWK_ordinary_snapshot_self_omission,INFO_FLUSH_omission_denotes_ordinary,clear_prior_reporter_capability_keep_direct_route,Unresolved,Owner_R2025a_INFO_FLUSH_omission_regression_passed,Prior_capability_cleared_without_losing_direct_route,3
NWK_HOP_feedback_wake,non_scheduling_NSdp_release_then_TIC,HOP_owns_postfeedback_TIC_wake,Unresolved,Owner_R2025a_routed_and_fixed_path_release_order_methods_passed,Non_scheduling_custody_release_and_HOP_TIC_wake_verified,3
MATLAB_neighbor_Boolean_validation,not_applicable,logical_and_numeric_zero_one_options,Unresolved,Owner_R2025a_20_Neighbors_and_11_config_methods_passed,Direct_Boolean_domain_fix_verified_portable_T3_accepted,3
MATLAB_ARL_zero_hop_path_shape,not_applicable,empty_route_path_no_wire_hops,Unresolved,Owner_R2025a_all_11_codec_methods_passed,Canonical_empty_path_verified_wire_bytes_unchanged,3
MATLAB_NWK_fixture_mask_shape,not_applicable,scalar_filter_per_control_log_entry,Unresolved,Owner_R2025a_all_31_NWK_methods_passed_in_final_289of289_run,All_three_mixed_mask_filter_sites_fixed_portable_T3_accepted,3
shared_scenario_import,csr_opnet_scenario_v1,current_send_only_fine_free_slot_production_pairwise16,Unresolved,Five_actual_ns3_cases_completed_MATLAB_importer_tests_prepared,Strict_supported_subset_rejects_historical_and_dynamic_profiles,4
shared_application_differential,aggregate_only,app_send_and_nwk_delivery_traces,Unresolved,34_Python_comparator_tests_passed_actual_MATLAB_comparison_pending,Compare_generation_identity_and_payload_not_cross_runtime_IDs_or_exact_RNG,4
shared_fixed_rate_PHY_profiles,8_to_128_kbps,8_128_500_1000_kbps,Unresolved,Five_ns3_cases_deliver_threeofthree_each_500_1000_separate_extensions,Fixed_rate_power_and_SYNC_threshold_do_not_certify_feedback_adaptation,4
research_layouts_and_discovery,not_historical_campus,source_ARL_with_local_SNMP_scans,Unresolved,Nine_synthetic_MATLAB_factories_prepared_no_runtime_claim,Physical_three_path_Earth_closure_with_explicit_administrative_discovery,4
research_recovery_blackout,not_measured_RF_outage,diagnostic_receive_erasure,Intentional MATLAB implementation difference,Named_fixture_prepared_MATLAB_execution_pending,Explicit_erasure_and_rediscovery_not_mobility_or_autonomous_recovery_claim,4
research_trace_and_custody_accounting,layer_counters,current_source_trace_and_application_diagnostics,Unresolved,Owner_R2025a_eightofnine_initial_evidence_tests_passed_repaired_eleven_method_class_pending,Complete_trace_and_bounded_balanced_custody_required_scenario_export_loops_not_reached,4
MATLAB_evidence_paths_and_empty_hashing,not_applicable,raw_byte_provenance,Unresolved,Owner_R2025a_initial_330of331_failed_relative_inventory_then_failure_report_hashing,Corrected_pwd_anchoring_empty_digest_and_failure_reporting_333_method_rerun_pending,4
reference_runner_provenance,not_new_OPNET_execution,frozen_source_runner_with_preserved_CSR_engine_libraries,Unresolved,Five_fresh_runner_cases_and_eight_Python_contract_tests_passed,Standalone_runner_recompiled_libraries_hashed_no_full_engine_rebuild_or_38_workflow_claim,4
